,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
5173,10/7/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,Information Technology (IT),SF Bay Area,Non-Core,,1,0,0,0,0
7228,10/15/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
5189,9/30/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Design,New York,Non-Core,,1,0,0,0,0
5191,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,Design,New York,Non-Core,,1,0,0,0,0
5200,10/5/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Other,London,Non-Core,,2,0,0,0,0
5209,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Project Management,Boston,Non-Core,,1,0,0,0,0
5211,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd7),dd7-all,,New York,Non-Core,,1,0,0,0,0
5212,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
7663,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd7-all,Design,Seattle,Non-Core,,1,1,1,1,1
5218,10/24/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Other,New York,Non-Core,,1,0,0,0,0
8206,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Information Technology (IT),Seattle,Non-Core,,1,0,1,1,0
8265,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),jk2-all,Design,New York,Non-Core,,3,1,1,1,1
5252,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Software Engineering,Boston,Non-Core,,1,0,0,0,0
8905,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Design,New York,Non-Core,,1,0,1,1,0
5259,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,New York,Non-Core,,1,0,0,0,0
5264,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,New York,Non-Core,,1,0,0,0,0
5275,10/11/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Data Analytics,France,Non-Core,,1,0,0,0,0
5289,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Data Analytics,Boston,Non-Core,,1,0,0,0,0
5290,9/24/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Quality Assurance (QA),Seattle,Non-Core,,1,0,0,0,0
5296,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Project Management,London,Non-Core,,1,0,0,0,0
5299,10/15/2018,twitter,(b2c)(l-all)(r-swe)(keywordsdevops),Girl-Challenge,,New York,Non-Core,,1,0,0,0,0
5318,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Data Analytics,New York,Non-Core,,1,0,0,0,0
5320,10/16/2018,twitter,(b2c)(l-all)(r-swe)(followerllav4),dd7-all,Design,New York,Non-Core,,1,0,0,0,0
9048,10/15/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Design,London,Non-Core,,2,0,1,1,0
9542,10/15/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Information Technology (IT),Boston,Non-Core,,1,0,1,1,0
9815,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd7,Data Analytics,Boston,Non-Core,,1,0,1,1,0
5345,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Other,New York,Non-Core,,1,0,1,0,0
10262,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Information Technology (IT),New York,Non-Core,,1,0,1,1,0
12198,10/15/2018,twitter,(b2c)(l-all)(r-swe)(keywordslladevops),Doug-Challenge,Software Engineering,SF Bay Area,Core,,1,0,1,1,0
5363,10/19/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Other,London,Non-Core,,1,0,0,0,0
12371,10/15/2018,twitter,(b2c)(l-all)(r-swe)(keywordsdevops),Girl-Challenge,Software Engineering,Other,Core,,1,0,1,1,0
5374,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),jk2-all,Developer Operations (DevOps),New York,Non-Core,,1,0,0,0,0
5380,10/19/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Other,Boston,Non-Core,,1,0,0,0,0
5384,10/10/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Data Analytics,Other,Non-Core,,1,0,0,0,0
5401,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,,Los Angeles,Non-Core,,1,0,0,0,0
5415,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Software Engineering,New York,Non-Core,,1,0,0,0,0
5418,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
12731,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd7-all,Engineering Management,New York,Core,,1,0,1,1,0
5441,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,,New York,Non-Core,,1,0,0,0,0
5446,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_static),jk2-all,Design,SF Bay Area,Non-Core,,1,0,0,0,0
13134,10/15/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Software Engineering,London,Core,,1,1,1,1,1
5464,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Product Management,New York,Non-Core,,1,0,0,0,0
13149,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_static),dd3-all,Software Engineering,New York,Core,,1,0,1,1,0
1947,10/14/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Product Management,SF Bay Area,Non-Core,,1,0,1,1,0
5470,10/14/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,Data Analytics,Seattle,Non-Core,,1,0,0,0,0
5473,10/15/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,,France,Non-Core,,3,0,0,0,0
5474,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Other,Seattle,Non-Core,,1,0,1,0,0
3082,10/14/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Project Management,London,Non-Core,,1,0,1,1,0
5489,10/25/2018,facebook,(b2c)(sf)(r-all)(conversion-us-coreqob_static),sf-all,,SF Bay Area,Non-Core,,2,0,0,0,0
5492,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static4%),dd3-all,Other,Boston,Non-Core,,1,0,0,0,0
5493,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static2%),jk2-all,Software Engineering,SF Bay Area,Non-Core,,1,0,0,0,0
7151,10/14/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
5524,10/4/2018,twitter,(b2c)(l-all)(r-swe)(keywords),dd3-all,Data Analytics,New York,Non-Core,,1,0,0,0,0
5530,10/20/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),dd3-all,Project Management,Seattle,Non-Core,,1,0,0,0,0
5537,9/18/2018,facebook,(b2c)(frpar)(r-swe)(swe-approval-lal5),legacy-post-frpar,,France,Non-Core,,1,0,0,0,0
5541,10/1/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Other,London,Non-Core,,1,0,1,0,0
5547,10/9/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Other,London,Non-Core,,2,0,0,0,0
5555,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,,Other,Non-Core,,1,0,0,0,0
5562,10/8/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
5563,9/28/2018,facebook,(b2c)(fr)(r-swe)(conversions),,,France,Non-Core,,1,0,0,0,0
5566,10/17/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor),dd3-all,,Seattle,Non-Core,,1,0,0,0,0
5585,10/4/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,1,0,0,0,0
5598,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,,New York,Non-Core,,1,0,0,0,0
5615,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jk2-all,Other,New York,Non-Core,,1,0,0,0,0
5655,10/15/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Product Management,Denver,Non-Core,,1,0,0,0,0
5658,9/29/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
5660,10/13/2018,facebook,(b2c)(l-all)(r-all)(retargeting-us-sitevisitor),jj2-all,Design,Seattle,Non-Core,,1,0,0,0,0
5668,10/25/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Product Management,New York,Non-Core,,1,0,0,0,0
5680,10/11/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Engineering Management,France,Non-Core,,1,0,0,0,0
