,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
13666,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Software Engineering,SF Bay Area,Core,,1,0,1,1,0
1705,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_pixel),jk2-all,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
6391,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
1993,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
3010,10/11/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Product Management,New York,Non-Core,,1,1,1,1,1
3308,10/11/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor_2-7d),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
6407,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jj2-all,Information Technology (IT),Seattle,Non-Core,,1,0,0,0,0
6433,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Data Analytics,London,Non-Core,,1,0,0,0,0
3516,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jj2-all,Design,Seattle,Non-Core,,1,0,1,1,0
3644,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Data Analytics,New York,Non-Core,,1,0,1,1,0
6441,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static2%),dd3-all,Project Management,New York,Non-Core,,1,0,0,0,0
6444,9/23/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Data Analytics,France,Non-Core,,1,0,0,0,0
6446,9/27/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Other,France,Non-Core,,1,0,1,0,0
6450,10/10/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-dd3),dd3-all,Quality Assurance (QA),Boston,Non-Core,,1,0,0,0,0
6461,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,,New York,Non-Core,,1,0,0,0,0
4407,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_static),dd7-all,Project Management,New York,Non-Core,,1,0,1,1,0
6481,10/1/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-dd3),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
6487,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd7-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
6496,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Quality Assurance (QA),SF Bay Area,Non-Core,,1,0,0,0,0
6511,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,,Seattle,Non-Core,,1,0,0,0,0
4633,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Project Management,Boston,Non-Core,,1,0,1,1,0
6517,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
6518,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Other,London,Non-Core,,1,0,0,0,0
4916,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Data Analytics,SF Bay Area,Non-Core,,1,1,1,1,1
7077,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Data Analytics,SF Bay Area,Non-Core,,1,1,1,1,1
6550,10/21/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Information Technology (IT),SF Bay Area,Non-Core,,1,0,0,0,0
6551,10/13/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor_2-7d),dd7-all,Other,New York,Non-Core,,1,0,0,0,0
6553,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,Project Management,New York,Non-Core,,1,0,0,0,0
7531,10/11/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
8775,10/11/2018,facebook,(b2c)(l-all)(r-all)(retargeting-us-sitevisitor_1d),jj2-all,Project Management,New York,Non-Core,,1,0,1,1,0
6572,10/22/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
6579,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd7),dd7-all,Design,SF Bay Area,Non-Core,,1,0,0,0,0
6614,10/6/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Design,SF Bay Area,Non-Core,,1,0,0,0,0
6617,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,,Washington D.C.,Non-Core,,1,0,0,0,0
6646,10/17/2018,facebook,(b2c)(l-all)(r-swe)(tech-apprsweskills-laa2-all-mnf),link-setyourowncasual2,,New York,Non-Core,,1,0,0,0,0
6648,10/23/2018,facebook,(b2c)(l-all)(r-swe)(tech-techinterests sweplacement-laa10-all-mnf),link-setyourowncasual2,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
6654,9/24/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Other,London,Non-Core,,1,0,1,0,0
6668,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jj2-all,,Seattle,Non-Core,,1,0,0,0,0
6684,10/8/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
6696,9/18/2018,facebook,(b2c)(l-all)(r-all)(ppe),,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
6708,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,,New York,Non-Core,,1,0,0,0,0
6713,10/11/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Project Management,Seattle,Non-Core,,1,0,0,0,0
6714,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,Chicago,Non-Core,,1,0,0,0,0
6715,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-18month),dd3-all,Other,Denver,Non-Core,,1,0,1,0,0
6729,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Other,Boston,Non-Core,,1,0,0,0,0
6733,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,,New York,Non-Core,,1,0,0,0,0
9104,10/11/2018,facebook,(b2c)(l-all)(r-design)(tech-designskills-all-mnf),video-jobsearchsmarter,Design,New York,Non-Core,,1,0,1,1,0
6739,9/19/2018,facebook,(b2c)(l-all)(r-all)(video-views),,Design,SF Bay Area,Non-Core,,1,0,0,0,0
9367,10/11/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Design,London,Non-Core,,2,0,2,2,0
6771,10/11/2018,facebook,(b2c)(l-all)(r-all)(retargeting-us-sitevisitor),jj2-all,Project Management,New York,Non-Core,,1,0,0,0,0
6783,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Data Analytics,Seattle,Non-Core,,1,0,0,0,0
10239,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),jj2-all,Design,London,Non-Core,,1,0,1,1,0
6810,10/24/2018,twitter,(b2c)(l-all)(r-swe)(followerllav4),dd7-all,Information Technology (IT),Seattle,Non-Core,,1,0,0,0,0
6815,10/3/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-cc2),cc2-all,,New York,Non-Core,,1,0,0,0,0
6819,10/14/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Data Analytics,France,Non-Core,,1,0,0,0,0
6824,9/19/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Data Analytics,France,Non-Core,,2,0,0,0,0
10288,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversioncbo-us-qob60d1broad100),jk2-all,Design,New York,Non-Core,,1,0,1,1,0
6839,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,Other,New York,Non-Core,,2,0,2,0,0
6847,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,,New York,Non-Core,,1,0,0,0,0
6850,9/18/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Data Analytics,France,Non-Core,,1,0,0,0,0
6869,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-java1%),jj2-all,Project Management,Boston,Non-Core,,1,0,0,0,0
6876,9/29/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Data Analytics,France,Non-Core,,1,0,0,0,0
6880,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Product Management,New York,Non-Core,,1,0,0,0,0
6886,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-java1%),jk2-all,Project Management,Chicago,Non-Core,,1,0,0,0,0
6893,10/18/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Engineering Management,France,Non-Core,,1,0,0,0,0
6901,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
6904,10/3/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-cc2),cc2-all,Other,Seattle,Non-Core,,1,0,1,0,0
10349,10/11/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor),dd3-all,Design,New York,Non-Core,,1,0,1,1,0
10862,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_pixel),jj2-all,Data Analytics,Boston,Non-Core,,1,0,1,1,0
11055,10/11/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd6-all,Software Engineering,SF Bay Area,Core,,1,1,1,1,1
6949,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Other,New York,Non-Core,,1,0,0,0,0
11918,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Software Engineering,SF Bay Area,Core,,1,0,1,1,0
1482,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3,Design,New York,Non-Core,,1,0,1,1,0
6966,9/25/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Project Management,Boston,Non-Core,,2,0,0,0,0
6967,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd7-all,,Other,Non-Core,,1,0,0,0,0
6970,9/27/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Other,France,Non-Core,,1,0,0,0,0
6971,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Design,New York,Non-Core,,2,0,0,0,0
2500,10/10/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,2,1,2,2,1
6976,10/12/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor_2-7d),dd3-all,Other,Other,Non-Core,,1,0,0,0,0
3316,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd7-all,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
6980,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_static),dd7-all,Design,Seattle,Non-Core,,1,0,0,0,0
6993,10/26/2018,facebook,(b2c)(sf)(r-all)(conversion-us-coreqob_static),sf-all,Product Management,SF Bay Area,Non-Core,,1,0,0,0,0
6998,10/21/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob1broad),jj2-all,Other,New York,Non-Core,,1,0,0,0,0
7010,9/18/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Project Management,New York,Non-Core,,1,0,0,0,0
3545,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Data Analytics,New York,Non-Core,,1,0,1,1,0
7022,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,,New York,Non-Core,,1,0,0,0,0
7031,9/28/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,,London,Non-Core,,3,0,0,0,0
7032,9/14/2018,facebook,(b2c)(l-all)(r-swe)(tech-apprsweskills46yoe-laa1-all-dnf),link-losethedesk,Design,SF Bay Area,Non-Core,,1,0,0,0,0
4555,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Project Management,New York,Non-Core,,2,0,1,1,0
7053,9/25/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Project Management,New York,Non-Core,,2,0,1,0,0
5331,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-DevBroadCQOBLAL365),TimeHat,Product Management,SF Bay Area,Non-Core,,1,0,1,1,0
8793,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Quality Assurance (QA),Other,Non-Core,,1,0,1,1,0
7080,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Design,Seattle,Non-Core,,1,0,0,0,0
7083,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
7098,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Data Analytics,Boston,Non-Core,,1,0,0,0,0
7106,10/24/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Other,SF Bay Area,Non-Core,,1,0,0,0,0
7115,9/28/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Information Technology (IT),France,Non-Core,,1,0,0,0,0
7122,9/29/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Design,France,Non-Core,,1,0,0,0,0
7124,10/3/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,,London,Non-Core,,1,0,0,0,0
7134,9/23/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Other,London,Non-Core,,1,0,0,0,0
7135,10/6/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
7138,10/7/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Other,New York,Non-Core,,1,0,0,0,0
7144,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,Design,New York,Non-Core,,1,0,0,0,0
9674,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Data Analytics,Washington D.C.,Non-Core,,1,0,1,1,0
10078,10/10/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Design,New York,Non-Core,,1,0,1,1,0
7153,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),jk2-all,Other,New York,Non-Core,,1,0,0,0,0
7157,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Information Technology (IT),France,Non-Core,,1,0,0,0,0
7164,10/18/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Product Management,New York,Non-Core,,1,0,0,0,0
7169,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
7175,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jj2-all,Other,London,Non-Core,,1,0,0,0,0
7182,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,,Boston,Non-Core,,1,0,0,0,0
10098,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Design,Boston,Non-Core,,1,0,1,1,0
7200,9/22/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,,London,Non-Core,,1,0,0,0,0
7201,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,Other,Seattle,Non-Core,,1,0,0,0,0
7208,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Other,SF Bay Area,Non-Core,,1,0,0,0,0
7220,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,,New York,Non-Core,,1,0,0,0,0
7226,10/14/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Other,,Non-Core,,1,0,0,0,0
10345,10/10/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-dd3),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,1,1,0
10673,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Product Management,New York,Non-Core,,2,1,2,2,1
10796,10/10/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd7-all,Design,New York,Non-Core,,1,0,1,1,0
7235,10/14/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Engineering Management,SF Bay Area,Non-Core,,1,0,0,0,0
7239,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Project Management,New York,Non-Core,,1,0,0,0,0
7258,10/20/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Product Management,New York,Non-Core,,1,0,0,0,0
7267,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Other,New York,Non-Core,,1,0,0,0,0
7269,10/21/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Other,France,Non-Core,,1,0,0,0,0
7272,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Other,New York,Non-Core,,1,0,1,0,0
7276,10/19/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Data Analytics,SF Bay Area,Non-Core,,1,0,0,0,0
7298,10/9/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd7-all,Information Technology (IT),Seattle,Non-Core,,1,0,0,0,0
7300,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,,New York,Non-Core,,1,0,0,0,0
13686,10/10/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Software Engineering,SF Bay Area,Core,,1,1,1,1,1
7322,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Design,Boston,Non-Core,,1,0,0,0,0
7328,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,Other,New York,Non-Core,,1,0,0,0,0
85,10/9/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Design,France,Non-Core,,2,0,2,2,0
1563,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-DevBroadCQOBLAL365),TimeHat,Product Management,Boston,Non-Core,,1,1,1,1,1
7340,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Project Management,London,Non-Core,,1,0,0,0,0
7342,10/18/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,,France,Non-Core,,3,0,0,0,0
7347,10/18/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),cc7-all,,New York,Non-Core,,1,0,0,0,0
1700,10/9/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Design,New York,Non-Core,,1,0,1,1,0
7364,10/7/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Project Management,London,Non-Core,,1,0,0,0,0
7386,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Quality Assurance (QA),SF Bay Area,Non-Core,,1,0,0,0,0
7400,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
7411,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,,Seattle,Non-Core,,1,0,0,0,0
2356,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Data Analytics,New York,Non-Core,,2,0,2,2,0
7433,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,,France,Non-Core,,1,0,0,0,0
7435,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Design,SF Bay Area,Non-Core,,1,0,0,0,0
7437,10/14/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,Project Management,New York,Non-Core,,1,0,0,0,0
7449,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Software Engineering,SF Bay Area,Non-Core,,1,0,0,0,0
7456,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Design,New York,Non-Core,,1,0,0,0,0
7457,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,,,Non-Core,,1,0,0,0,0
2391,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Data Analytics,SF Bay Area,Non-Core,,1,0,1,1,0
7467,10/26/2018,facebook,(b2c)(l-frpar)(r-swe)(tech-swetools-frpar-mnf),link-citytestfrpar2,Other,France,Non-Core,,1,0,0,0,0
7477,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Project Management,Seattle,Non-Core,,1,0,0,0,0
7480,10/20/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,1,0,0,0,0
7482,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Project Management,New York,Non-Core,,1,0,0,0,0
7494,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
7498,10/7/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,,SF Bay Area,Non-Core,,1,0,0,0,0
4743,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Design,Seattle,Non-Core,,2,0,2,2,0
4787,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Project Management,Seattle,Non-Core,,1,0,1,1,0
7514,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Design,New York,Non-Core,,2,0,1,0,0
5371,10/9/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd7-all,Project Management,New York,Non-Core,,1,0,1,1,0
7525,9/30/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Product Management,Los Angeles,Non-Core,,1,0,0,0,0
7526,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Other,SF Bay Area,Non-Core,,1,0,0,0,0
5467,10/9/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,2,0,1,1,0
7548,10/16/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Product Management,France,Non-Core,,1,0,0,0,0
7553,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,Other,Boston,Non-Core,,1,0,0,0,0
7564,9/30/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Project Management,New York,Non-Core,,1,0,0,0,0
6124,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
7574,10/15/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Information Technology (IT),Washington D.C.,Non-Core,,1,0,0,0,0
7581,10/25/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
7588,10/12/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Product Management,Seattle,Non-Core,,1,0,0,0,0
7591,10/6/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,2,0,0,0,0
7614,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,,New York,Non-Core,,1,0,0,0,0
7616,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jj2-all,Other,London,Non-Core,,2,0,1,0,0
7617,10/2/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Design,London,Non-Core,,1,0,0,0,0
6906,10/9/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,Project Management,New York,Non-Core,,2,0,1,1,0
7073,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Data Analytics,New York,Non-Core,,1,0,1,1,0
7753,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Information Technology (IT),Boston,Non-Core,,1,0,1,1,0
7651,9/22/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Other,London,Non-Core,,1,0,1,0,0
7655,10/3/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Project Management,France,Non-Core,,4,0,0,0,0
7661,10/11/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Information Technology (IT),London,Non-Core,,1,0,0,0,0
8701,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
7666,10/2/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-cc2),cc2-all,Project Management,London,Non-Core,,1,0,0,0,0
9704,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Data Analytics,Seattle,Non-Core,,1,0,1,1,0
7672,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,,Seattle,Non-Core,,2,0,0,0,0
7681,9/26/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Other,New York,Non-Core,,1,0,0,0,0
7713,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
7714,10/16/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,,France,Non-Core,,3,0,0,0,0
7717,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_pixel),jk2-all,,Boston,Non-Core,,1,0,0,0,0
